name,pos_primary,adp_round,rank,dollars
Jimmy Nelson,RP,50,378,-28
Ryne Stanek,RP,51,379,-28
Zach Eflin,SP,16,380,-28
Rowan Wick,RP,48,381,-28
Oliver Perez,RP,84,382,-28
Brad Wieck,RP,84,383,-28
Jose Alvarez,RP,84,384,-28
Codi Heuer,RP,50,385,-28
Hunter Harvey,RP,39,386,-28
Austin Meadows,OF,7,387,-29
Jose Urquidy,SP,17,388,-29
Jakob Junis,SP,50,389,-29
Taijuan Walker,SP,23,390,-29
Justin Wilson,RP,51,391,-29
Joe Jimenez,RP,49,392,-29
Rick Porcello,SP,50,393,-29
Shane Greene,RP,50,394,-30
Buster Posey,C,21,395,-30
David Bednar,RP,50,396,-30
Mike Zunino,C,48,397,-30
Reynaldo Lopez,SP,50,398,-30
Luke Jackson,RP,51,399,-31
Jeimer Candelario,1B,24,400,-31
